Tamanho;Bolha;Selecao;Insercao;Shell;Merge;Quick
1024;3342;1522;1954;53;122;32
2048;15277;5871;7529;139;183;57
4096;40551;21448;29178;176;212;123
8192;166210;74146;104381;364;423;206
16384;611818;355954;401461;899;946;656
32768;2371057;1398226;1567530;2435;2023;1024
65536;9544836;5323616;6332082;3814;3964;2212
131072;0;0;0;8797;13780;5028
262144;0;0;0;24575;45128;13383
524288;0;0;0;71215;36203;19948
1048576;0;0;0;120452;75481;41269
2097152;0;0;0;273601;197343;94722
4194304;0;0;0;667392;361947;224557
8388608;0;0;0;1564126;776899;419566
16777216;0;0;0;3460748;1942862;882057
